04 04 07 07 17,04 04 07 18 44,-64 -15
04 04 08 07 14,04 04 08 18 43,-58 -14
04 04 09 07 12,04 04 09 18 42,-53 -14
04 04 10 07 11,04 04 10 18 41,-50 -14
04 04 11 07 11,04 04 11 18 47,-41 -15
04 04 12 07 09,04 04 12 18 45,-35 -14
04 04 13 07 08,04 04 13 18 44,-34 -14
04 04 14 07 07,04 04 14 18 45,-29 -14
04 04 15 07 01,04 04 15 18 43,-21 -13
04 04 16 07 05,04 04 16 18 46,-22 -14
04 04 17 07 01,04 04 17 18 43,-20 -13
04 04 18 07 01,04 04 18 18 43,-17 -13
